Team,Player,PPG,APG,Conf
TexasâRio Grande Valley,Jalen Ricks,2.9,0.5,SOUTHLAND
Houston Christian,Obadiah Curtis,2.8,0.0,SOUTHLAND
Lamar,Brian Knight,2.8,0.4,SOUTHLAND
McNeese State,Yanis Ndjonga,2.7,0.1,SOUTHLAND
TexasâRio Grande Valley,Marshal Destremau,2.5,0.3,SOUTHLAND
Nicholls State,Kevin Pazmino,2.4,0.1,SOUTHLAND
Northwestern State,CJ Larry,2.4,1.4,SOUTHLAND
Northwestern State,Moustapha Loum,2.4,0.2,SOUTHLAND
New Orleans,Mathok Majok,2.3,0.0,SOUTHLAND
Incarnate Word,Drew Barbee,2.2,0.8,SOUTHLAND
Incarnate Word,Jayden Williams,2.2,0.2,SOUTHLAND
Nicholls State,Nick Krass,2.1,0.5,SOUTHLAND
Houston Christian,Will Wilson,2.0,0.0,SOUTHLAND
Incarnate Word,Esteban Mann,2.0,0.2,SOUTHLAND
Incarnate Word,Mihael Tomic,1.9,0.1,SOUTHLAND
Stephen F. Austin,Eltramon Smith Jr.,1.9,0.5,SOUTHLAND
East Texas A&M,Alex McCray,1.9,1.4,SOUTHLAND
TexasâRio Grande Valley,Demarris Winters,1.9,0.6,SOUTHLAND
Stephen F. Austin,Bryceson Melvin,1.8,0.0,SOUTHLAND
Incarnate Word,Amani Drummond,1.7,0.1,SOUTHLAND
Incarnate Word,Lewis Rowe,1.7,1.0,SOUTHLAND
TexasâRio Grande Valley,Luis Ramirez,1.7,0.3,SOUTHLAND
Lamar,Janko Bulajic,1.6,0.9,SOUTHLAND
Stephen F. Austin,Tichyque Musaka,1.6,0.1,SOUTHLAND
New Orleans,Jamal Chretien II,1.5,0.2,SOUTHLAND
East Texas A&M,Evan Phelps,1.5,1.2,SOUTHLAND
East Texas A&M,Mykol Sanchez-Vega,1.5,0.5,SOUTHLAND
Southeastern Louisiana,Garrett Shoemaker,1.4,0.1,SOUTHLAND
Texas A&MâCorpus Christi,Jamal Ambrose,1.3,0.1,SOUTHLAND
Nicholls State,Domanic Betancourt,1.2,0.0,SOUTHLAND
Southeastern Louisiana,Ubong Abasi Etim,1.2,0.2,SOUTHLAND
New Orleans,Grant Kemp,1.1,0.6,SOUTHLAND
New Orleans,Hercy Miller,1.1,0.7,SOUTHLAND
Northwestern State,Quentin Bolton Jr.,1.1,0.3,SOUTHLAND
New Orleans,Vieux Sanneh,1.0,0.0,SOUTHLAND
Stephen F. Austin,Christian Green,1.0,0.3,SOUTHLAND
Houston Christian,Ahjany Lee,0.8,0.1,SOUTHLAND
Houston Christian,Caleb Gaston,0.7,0.0,SOUTHLAND
Southeastern Louisiana,Ahmed Essahaty,0.7,0.5,SOUTHLAND
McNeese State,JJ Rembert,0.6,1.7,SOUTHLAND
Stephen F. Austin,Harris Dar,0.6,0.1,SOUTHLAND
East Texas A&M,Parker Whisenhunt,0.6,0.0,SOUTHLAND
Texas A&MâCorpus Christi,Kaden Crosby,0.6,0.4,SOUTHLAND
Lamar,Spencer Ezewiro,0.5,0.3,SOUTHLAND
New Orleans,William Patterson,0.3,0.0,SOUTHLAND
Houston Christian,Bryson Monroe,0.0,0.0,SOUTHLAND
Incarnate Word,Tyler Simon,0.0,0.0,SOUTHLAND
Nicholls State,Jordan Matthews,0.0,0.0,SOUTHLAND
South Dakota,Isaac Bruns,20.8,1.3,SUMMIT
Denver,Carson Johnson,20.1,3.0,SUMMIT
St. Thomas,Nolan Minessale,19.9,4.3,SUMMIT
Omaha,Paul Djobet,18.8,2.2,SUMMIT
St. Thomas,Nick Janowski,16.9,2.0,SUMMIT
Oral Roberts,Ty Harper,16.5,2.4,SUMMIT
North Dakota,Greyson Uelmen,15.5,2.5,SUMMIT
Denver,Jeremiah Burke,14.8,1.5,SUMMIT
South Dakota,Cameron Fens,14.8,0.7,SUMMIT
North Dakota State,Damari Wheeler-Thomas,14.0,2.8,SUMMIT
South Dakota,Jordan Crawford,14.0,1.3,SUMMIT
South Dakota State,Joe Sayler,13.9,2.2,SUMMIT
South Dakota State,Damon Wilkinson,13.7,1.3,SUMMIT
Denver,Zane Nelson,13.5,2.5,SUMMIT
Omaha,Lance Waddles,13.0,2.2,SUMMIT
North Dakota State,Markhi Strickland,12.9,1.3,SUMMIT
Omaha,Tony Osburn,12.7,2.5,SUMMIT
North Dakota State,Trevian Carson,12.7,2.7,SUMMIT
South Dakota State,Jaden Jackson,12.7,2.7,SUMMIT
Kansas City,Karmello Branch,12.4,1.3,SUMMIT
Oral Roberts,Ofri Naveh,12.1,1.6,SUMMIT
Denver,Logan Kinsey,11.8,1.0,SUMMIT
Oral Roberts,Connor Dow,11.8,1.7,SUMMIT
South Dakota,Uzziah Buntyn,11.8,3.6,SUMMIT
North Dakota,Eli King,11.7,2.0,SUMMIT
Kansas City,U'Riyah Evans,11.6,3.7,SUMMIT
Omaha,Ja'Sean Glover,11.1,2.6,SUMMIT
South Dakota State,Kalen Garry,11.0,3.3,SUMMIT
St. Thomas,Isaiah Johnson-Arigu,11.0,1.1,SUMMIT
North Dakota,Garrett Anderson,10.9,1.4,SUMMIT
Kansas City,Jayson Petty,10.6,1.8,SUMMIT
North Dakota State,Treyson Anderson,10.6,0.8,SUMMIT
Kansas City,Kasheem Grady II,10.5,1.2,SUMMIT
Omaha,Grant Stubblefield,10.1,3.5,SUMMIT
St. Thomas,Carter Bjerke,9.4,1.3,SUMMIT
North Dakota State,Andy Stefonowicz,9.3,4.9,SUMMIT
North Dakota State,Noah Feddersen,9.1,1.1,SUMMIT
Oral Roberts,Lane Sparks,9.0,1.0,SUMMIT
North Dakota,George Natsvishvili,8.6,0.9,SUMMIT
North Dakota,Anthony Smith lll,8.5,2.4,SUMMIT
North Dakota,Zach Kraft,8.4,0.5,SUMMIT
Denver,Julius Rollins,8.3,1.3,SUMMIT
North Dakota,Micah Curtis,8.3,0.3,SUMMIT
South Dakota State,Matthew Mors,8.3,1.2,SUMMIT
Kansas City,Jerome Palm,8.1,1.4,SUMMIT
Omaha,Christian Richardson,7.8,0.0,SUMMIT
South Dakota,Shey Eberwein,7.7,1.7,SUMMIT
Oral Roberts,Luke Gray,7.4,0.3,SUMMIT
Oral Roberts,Yuto Yamanouchi,7.4,0.5,SUMMIT
Kansas City,Chris Dockery,7.3,0.9,SUMMIT
South Dakota State,Trey Buchanan,7.3,0.9,SUMMIT
Denver,Shaun Wysocki,7.1,0.8,SUMMIT
North Dakota State,Tay Smith,7.0,0.9,SUMMIT
South Dakota,Jesse Mcintosh,6.9,1.6,SUMMIT
St. Thomas,Ben Oosterbaan,6.9,1.6,SUMMIT
Oral Roberts,Jack Turner,6.8,1.6,SUMMIT
North Dakota,Marley Curtis,6.4,0.2,SUMMIT
South Dakota,Vince Buzelis,6.3,1.2,SUMMIT
St. Thomas,Ryan Dufault,6.2,1.7,SUMMIT
St. Thomas,Austin Herro,5.9,3.4,SUMMIT
Denver,Gabe Oldham,5.7,1.1,SUMMIT
Omaha,Kamryn Thomas,5.2,1.0,SUMMIT
Omaha,Khamani Cooper,5.0,1.4,SUMMIT
South Dakota,Porter Ihnen,5.0,0.3,SUMMIT
St. Thomas,Jermaine Coleman,5.0,0.5,SUMMIT
South Dakota,Silas Bennion,4.7,3.3,SUMMIT
Omaha,Brock Scholl,4.5,0.3,SUMMIT
South Dakota State,Alec Squires,4.5,0.8,SUMMIT
South Dakota State,Bubz Alvarez,4.5,1.1,SUMMIT
Kansas City,Shatner Booker-Lowery,4.2,0.3,SUMMIT
North Dakota,Reggie Thomas,4.2,0.8,SUMMIT
Kansas City,Addarin Scott,3.8,0.5,SUMMIT
South Dakota,Ethan Kizer,3.8,0.2,SUMMIT
South Dakota State,Luke Haertle,3.8,1.4,SUMMIT
Oral Roberts,Cal Furnish,3.7,1.6,SUMMIT
Omaha,Julian Margrave,3.6,0.3,SUMMIT
North Dakota State,Emil Skytta,3.6,0.8,SUMMIT
Omaha,Valentino Simon,3.5,0.6,SUMMIT
North Dakota State,Carson Smith,3.4,0.2,SUMMIT
South Dakota,Trent Hudgens Jr.,3.2,1.4,SUMMIT
St. Thomas,Hayden Tibbits,3.2,1.3,SUMMIT
Denver,Josh Lee,3.1,0.6,SUMMIT
North Dakota,Josh Jones,3.1,0.9,SUMMIT
Kansas City,Jamaria Clark,3.0,1.0,SUMMIT
Kansas City,Kernan Bundy,3.0,1.2,SUMMIT
Oral Roberts,Martins Kilups,3.0,0.7,SUMMIT
Kansas City,D'Andre Harrison,2.8,0.2,SUMMIT
South Dakota,Evan Anderson,2.8,0.7,SUMMIT
Oral Roberts,Chase Martin,2.7,1.5,SUMMIT
North Dakota State,Riley Saunders,2.5,0.3,SUMMIT
Oral Roberts,Aaron Jacob,2.4,0.3,SUMMIT
South Dakota,Jake Brack,2.4,0.4,SUMMIT
St. Thomas,Tim Franks,2.4,0.4,SUMMIT
South Dakota State,Jaden Rogers,2.2,0.1,SUMMIT
Oral Roberts,Baron Smith Jr.,2.1,0.2,SUMMIT
North Dakota,Ryan Erikson,1.9,0.3,SUMMIT
North Dakota,Wylee Delorme,1.9,0.1,SUMMIT
South Dakota State,Andrell Burton Jr.,1.8,0.3,SUMMIT
Denver,Didier Maleng,1.6,0.2,SUMMIT
North Dakota,Matthew Bothun,1.6,0.2,SUMMIT
North Dakota State,Riley Massey,1.6,0.5,SUMMIT
South Dakota State,Caleb Delzell,1.6,0.7,SUMMIT
Denver,Corleone Dandridge,1.5,0.1,SUMMIT
Omaha,Aidan Skradis,1.3,0.4,SUMMIT
North Dakota,Anthony Doppler,1.3,0.4,SUMMIT
South Dakota,Caleb Kizer,1.2,0.2,SUMMIT
Kansas City,Babacar Mbengue,1.1,0.3,SUMMIT
North Dakota State,Max Majerle,1.1,0.6,SUMMIT
St. Thomas,Tommy Humphries,1.1,0.2,SUMMIT
St. Thomas,Kyle Counts,1.0,0.2,SUMMIT
St. Thomas,Ryan Lafferty,1.0,1.3,SUMMIT
Denver,Devin Carney,0.8,0.3,SUMMIT
South Dakota State,Jadyn Cascio Jensen,0.7,0.3,SUMMIT
South Dakota,Ashton Smith,0.5,0.0,SUMMIT
St. Thomas,Adam Tauer,0.5,0.2,SUMMIT
North Dakota,Karson Ouse,0.4,0.0,SUMMIT
North Dakota State,Caleb Schoenrock,0.4,0.2,SUMMIT
St. Thomas,Jack Tauer,0.3,0.1,SUMMIT
Denver,Loch Cunningham,0.2,0.4,SUMMIT
Tarleton State,Dior Johnson,23.6,1.4,WAC
California Baptist,Dominique Daniels Jr.,22.0,3.3,WAC
Abilene Christian,Bradyn Hubbard,16.0,1.7,WAC
Utah Tech,Ethan Potter,15.9,1.8,WAC
Utah Valley,Jackson Holcombe,15.7,3.7,WAC
Southern Utah,Elijah Duval,14.5,3.6,WAC
Tarleton State,Camron McDowell,13.9,1.2,WAC
UT Arlington,Marcell McCreary,13.4,1.9,WAC
California Baptist,Martel Williams,13.3,1.5,WAC
Southern Utah,Jaiden Feroah,13.2,1.8,WAC
UT Arlington,Raysean Seamster,12.9,2.1,WAC
Utah Tech,Noah Bolanga,12.4,2.0,WAC
Utah Valley,Tyler Hendricks,11.8,1.8,WAC
Utah Valley,Trevan Leonhardt,11.7,6.0,WAC
Utah Tech,Chance Trujillo,11.4,2.6,WAC
Utah Tech,Jusaun Holt,11.1,3.3,WAC
Utah Valley,Isaac Davis,10.2,1.3,WAC
Southern Utah,Tanner Hayhurst,10.1,1.6,WAC
Abilene Christian,Rich Smith,9.8,4.8,WAC
UT Arlington,Casmir Chavis,9.8,3.9,WAC
Utah Tech,Madiba Owona,9.7,1.5,WAC
Abilene Christian,Chilaydrien Newton,9.7,0.9,WAC
Tarleton State,Freddy Hicks,9.4,2.0,WAC
Southern Utah,Isaiah Cottrell,9.1,1.4,WAC
Southern Utah,Dylan Jones,8.8,0.8,WAC
California Baptist,Jayden Jackson,8.8,1.9,WAC
Utah Valley,Hayden Welling,8.1,1.1,WAC
Tarleton State,Chris Mpaka,7.9,0.2,WAC
Utah Tech,Tanner Davis,7.7,1.7,WAC
Utah Valley,Isaac Hawkins,7.4,0.7,WAC
Tarleton State,Andy Sigiscar,7.4,0.2,WAC
Southern Utah,Zach Bell,7.0,2.1,WAC
Tarleton State,Malek Archie,7.0,0.0,WAC
UT Arlington,Bahsil Laster,6.9,1.2,WAC
Abilene Christian,Yaniel Rivera,6.8,2.3,WAC
UT Arlington,Tyran Mason,6.3,0.6,WAC
Abilene Christian,Zy Wright,6.3,0.6,WAC
Tarleton State,Leroy Kelly IV,6.2,1.4,WAC
California Baptist,Jonathan Griman,6.2,0.4,WAC
Tarleton State,AJ Dent Jr.,6.0,0.0,WAC
California Baptist,Devon Malcolm,5.9,0.5,WAC
Tarleton State,Kade Douglas,5.9,0.6,WAC
Utah Valley,Noah Taitz,5.7,1.2,WAC
Tarleton State,DJ Dormu,5.6,2.1,WAC
Abilene Christian,Cade Hornecker,5.6,1.1,WAC
Utah Valley,Braden Housley,5.6,2.9,WAC
Southern Utah,Jalen Lee,5.5,0.4,WAC
Tarleton State,Kaia Isaac,5.5,1.8,WAC
Tarleton State,Jordan Mizell,5.3,2.0,WAC
Utah Tech,Britton Berrett,5.3,1.2,WAC
California Baptist,Jordan Mueller,5.1,2.1,WAC
Abilene Christian,Joseph Scott,5.0,0.5,WAC
Utah Tech,Dario Domingos,5.0,0.2,WAC
California Baptist,Thomas Ndong,5.0,0.4,WAC
Southern Utah,Logan Stephens,4.9,1.1,WAC
UT Arlington,Marcus Rigsby Jr.,4.9,0.7,WAC
Abilene Christian,Joseph Venzant,4.9,0.8,WAC
California Baptist,Bradey Henige,4.7,0.5,WAC
Abilene Christian,Christian Alston,4.3,0.4,WAC
UT Arlington,Cameron Jackson,4.3,0.5,WAC
Southern Utah,Cale Barclay,4.3,1.0,WAC
UT Arlington,Jordan Lowery,4.1,1.1,WAC
UT Arlington,Miles Goodman,3.7,0.2,WAC
Utah Tech,Boston Harker,3.7,1.0,WAC
Tarleton State,Ocypher Owens,3.7,0.8,WAC
Southern Utah,Lorenzo Abellar,3.3,1.5,WAC
UT Arlington,Amari Reed,3.3,0.1,WAC
Tarleton State,Cam Thomas,3.3,0.3,WAC
Utah Valley,Sherman Weatherspoon,3.2,0.3,WAC
Utah Tech,Dallin Grant,3.0,0.2,WAC
Abilene Christian,Isaac Dye,3.0,0.4,WAC
Abilene Christian,Ma'Shy Hill,2.9,0.2,WAC
Southern Utah,Kai Burdick,2.9,0.5,WAC
California Baptist,Rene D'Amelio,2.9,0.2,WAC
California Baptist,Miles Daniels,2.7,0.6,WAC
Tarleton State,Matyas Vrabel,2.6,0.1,WAC
UT Arlington,Jayden Smoot,2.6,0.4,WAC
California Baptist,Nathaniel Garcia,2.6,0.1,WAC
Utah Tech,Samuel Ariyibi,2.3,0.6,WAC
Utah Tech,Preston Vandermyde,2.0,0.2,WAC
Southern Utah,Langston Binns,2.0,0.2,WAC
Utah Valley,Joul Karram,1.9,0.3,WAC
Utah Valley,Tyler Medaris,1.8,0.5,WAC
California Baptist,Jalen Dollar,1.8,0.1,WAC
California Baptist,Monty Bowser,1.7,0.2,WAC
Utah Valley,Tyler Weaver,1.5,0.4,WAC
Utah Valley,AJ Riggs,1.4,0.4,WAC
Tarleton State,Damion Porter Jr.,1.4,0.2,WAC
Southern Utah,Zeplin Kidd,1.1,0.2,WAC
UT Arlington,Alex Bossinakis,1.0,0.8,WAC
Abilene Christian,Isaiah Carrillo,1.0,0.3,WAC
Southern Utah,Brayden Johnson,0.9,0.6,WAC
Southern Utah,Chuks Isitua,0.9,0.0,WAC
Abilene Christian,Tylan LEWIS,0.6,0.5,WAC
Tarleton State,Joseph Martinez,0.3,0.0,WAC
Tarleton State,Roy Marom,0.0,0.3,WAC
Montana,Money Williams,19.4,5.1,BIG-SKY
Portland State,Terri Miller Jr.,19.2,3.5,BIG-SKY
Sacramento State,Prophet Johnson,18.8,3.8,BIG-SKY
Northern Colorado,Quinn Denker,18.4,7.2,BIG-SKY
Idaho,Kristian Gonzalez,18.0,0.0,BIG-SKY
Eastern Washington,Isaiah Moses,17.8,4.0,BIG-SKY
Portland State,Jaylin Henderson,17.7,5.9,BIG-SKY
Sacramento State,Mikey Williams,17.1,4.5,BIG-SKY
Weber State,Tijan Saine,17.0,4.4,BIG-SKY
Northern Colorado,Brock Wisne,16.9,2.8,BIG-SKY
Sacramento State,Jeremiah Cherry,15.5,1.7,BIG-SKY
Montana State,Jed Miller,14.4,2.7,BIG-SKY
Montana State,Patrick McMahon,14.4,2.0,BIG-SKY
Northern Arizona,Zack Davidson,14.0,0.8,BIG-SKY
Idaho,Jackson Rasmussen,13.9,1.3,BIG-SKY
Idaho,Kolton Mitchell,13.6,4.0,BIG-SKY
Idaho State,Connor Hollenbeck,13.2,1.5,BIG-SKY
Eastern Washington,Kiree Huie,13.1,0.7,BIG-SKY
Idaho,Biko Johnson,12.7,2.5,BIG-SKY
Montana State,Davian Brown,12.7,1.8,BIG-SKY
Weber State,Viljami Vartiainen,12.7,1.1,BIG-SKY
Montana State,Christian King,12.4,1.0,BIG-SKY
Eastern Washington,Alton Hamilton IV,12.3,2.3,BIG-SKY
Northern Colorado,Zach Bloch,12.0,2.4,BIG-SKY
Idaho State,Caleb Van De Griend,11.9,0.7,BIG-SKY
Montana,Te'Jon Sawyer,11.8,1.0,BIG-SKY
Idaho,Isaiah Brickner,11.7,0.9,BIG-SKY
Weber State,Jace Whiting,11.6,2.8,BIG-SKY
Northern Arizona,Ryan Abelman,11.1,2.0,BIG-SKY
Portland State,Keyon Kensie,11.0,1.2,BIG-SKY
Portland State,Tre-Vaughn Minott,10.7,0.3,BIG-SKY
Sacramento State,Jahni Summers,10.3,1.1,BIG-SKY
Sacramento State,Mark Lavrenov,10.2,0.5,BIG-SKY
Weber State,Nigel Burris,10.2,0.6,BIG-SKY
Weber State,Trevor Hennig,10.1,1.7,BIG-SKY
Idaho State,Martin Kheil,9.8,1.2,BIG-SKY
Northern Colorado,Ibu Yamazaki,9.8,0.9,BIG-SKY
Weber State,Edwin Suarez Jr.,9.5,1.2,BIG-SKY
Northern Arizona,Karl Markus Poom,9.4,1.4,BIG-SKY
Idaho State,Jamison Guerra,9.3,4.0,BIG-SKY
Montana,Kenyon Aguino,8.9,1.7,BIG-SKY
Montana,Brooklyn Hicks,8.8,0.9,BIG-SKY
Montana,Tyler Thompson,8.7,1.3,BIG-SKY
Northern Colorado,Ring Nyeri,8.7,0.6,BIG-SKY
Montana State,Jeremiah Davis,8.5,1.1,BIG-SKY
Idaho State,Lachlan Brewer,8.4,1.2,BIG-SKY
Montana State,Cavin Holden,8.4,1.8,BIG-SKY
Northern Arizona,Isaiah Shaw,8.4,0.4,BIG-SKY
Idaho,Brody Rowbury,8.3,1.1,BIG-SKY
Idaho State,Gus Etchison,8.3,1.9,BIG-SKY
Weber State,Malek Gomma,8.3,1.4,BIG-SKY
Northern Arizona,Chris Komin,7.6,2.0,BIG-SKY
Eastern Washington,Jojo Anderson,7.3,2.1,BIG-SKY
Northern Arizona,Traivar Jackson,7.1,0.9,BIG-SKY
Northern Arizona,Arne Osojnik,6.9,1.2,BIG-SKY
Eastern Washington,Johnny Radford,6.8,1.1,BIG-SKY
Idaho,Jack Payne,6.6,1.3,BIG-SKY
Northern Colorado,Egan Shields,6.4,1.1,BIG-SKY
Northern Colorado,Vincent Delano,6.2,1.6,BIG-SKY
Sacramento State,Arman Madi,6.2,1.2,BIG-SKY
Montana,Tyler Isaak,6.1,2.4,BIG-SKY
Montana State,Seth Amunrud,6.1,0.7,BIG-SKY
Northern Arizona,Diego Campisano,6.1,0.5,BIG-SKY
Montana,Grant Kepley,6.0,2.9,BIG-SKY
Eastern Washington,Straton Rogers,5.9,1.0,BIG-SKY
Sacramento State,Jayden Teat,5.9,0.8,BIG-SKY
Montana,Courtney Anderson,5.7,0.2,BIG-SKY
Montana State,Jaden Steppe,5.5,0.8,BIG-SKY
Northern Arizona,Kavon Bradford,5.5,1.7,BIG-SKY
Eastern Washington,Emmett Marquardt,5.4,0.9,BIG-SKY
Idaho,Seth Joba,5.4,0.4,BIG-SKY
Northern Colorado,Chancellor White,5.4,0.6,BIG-SKY
Eastern Washington,Tyler Powell,5.3,0.6,BIG-SKY
Montana State,Chris Hodges,5.3,1.0,BIG-SKY
Northern Arizona,Brennan Peterson,5.3,2.2,BIG-SKY
Sacramento State,Shaqir O'Neal,5.3,0.5,BIG-SKY
Idaho State,Evan Otten,4.9,0.3,BIG-SKY
Portland State,Kelcy Phipps,4.8,0.8,BIG-SKY
Portland State,Sebastian Tidor,4.8,0.7,BIG-SKY
Montana State,Waka Mbatch,4.7,0.6,BIG-SKY
Sacramento State,Brandon Gardner,4.1,0.4,BIG-SKY
Sacramento State,MaTaj Glover,4.1,1.3,BIG-SKY
Northern Arizona,Walker Timme,4.0,0.0,BIG-SKY
Weber State,ArDarius Grayson,4.0,1.3,BIG-SKY
Idaho State,Louis Bond,3.9,0.6,BIG-SKY
Idaho,Miles Klapper,3.7,0.7,BIG-SKY
Weber State,Duce Paschal,3.6,0.7,BIG-SKY
Northern Colorado,Ariik Mawien,3.4,0.4,BIG-SKY
Idaho,Trevon Blassingame,3.3,0.6,BIG-SKY
Portland State,Alex Dupre,3.3,0.8,BIG-SKY
Idaho State,Blake Daberkow,3.2,0.4,BIG-SKY
Montana,Kadyn Betts,3.1,0.2,BIG-SKY
Idaho State,Cheikh Sow,3.0,0.4,BIG-SKY
Montana,Connor Dick,2.7,0.3,BIG-SKY
Portland State,Isaiah Williams,2.6,0.2,BIG-SKY
Weber State,Bourgeois Tshilobo,2.6,0.1,BIG-SKY
Northern Colorado,Hunter Caldwell,2.5,0.5,BIG-SKY
Portland State,Brycen Long,2.5,0.7,BIG-SKY
Montana,Trae Taylor,2.4,0.0,BIG-SKY
Northern Colorado,Tanner Braketa,2.4,0.4,BIG-SKY
Montana State,Grayson Gaddis,2.3,0.5,BIG-SKY
Northern Colorado,William Humer,2.3,1.3,BIG-SKY
Montana,Chase Henderson,2.2,0.6,BIG-SKY
Northern Arizona,Oakland Fort,2.2,1.3,BIG-SKY
Weber State,David Hansen,2.1,0.1,BIG-SKY
Eastern Washington,Cole Scherer,2.0,0.5,BIG-SKY
Eastern Washington,Angelo Winkel,1.8,0.3,BIG-SKY
Eastern Washington,Elijah Thomas,1.8,0.2,BIG-SKY
Idaho,Ewan Steele,1.8,0.6,BIG-SKY
Montana State,Howie Keene,1.7,0.3,BIG-SKY
Weber State,Declan Cutler,1.7,0.3,BIG-SKY
Portland State,Charles Chukwu,1.6,0.1,BIG-SKY
Idaho,Aidan Sevilla,1.5,0.6,BIG-SKY
Northern Colorado,Walker Asp,1.5,0.5,BIG-SKY
Montana,Amari Jedkins,1.4,0.0,BIG-SKY
Weber State,Brady Smith,1.4,0.0,BIG-SKY
Idaho State,Quin Patterson,1.3,0.1,BIG-SKY
Montana State,Calum Rutherfurd,1.3,0.3,BIG-SKY
Sacramento State,Romari Robinson,1.2,0.4,BIG-SKY
Portland State,Mozae Downing-Rivers,1.1,1.2,BIG-SKY
Portland State,Samuel Stewart IV,1.0,0.6,BIG-SKY
Portland State,Colt Ness,0.9,1.4,BIG-SKY
Northern Arizona,Erez Poran,0.8,0.3,BIG-SKY
Northern Arizona,JT Amundsen,0.8,0.3,BIG-SKY
Portland State,Brayden Barron,0.8,0.1,BIG-SKY
Portland State,Kean Webb,0.8,0.0,BIG-SKY
Sacramento State,Jeremiah Nyarko,0.8,0.0,BIG-SKY
Idaho State,Jaedyn Brown,0.7,0.3,BIG-SKY
Sacramento State,Isaiah Bronson,0.7,0.2,BIG-SKY
Eastern Washington,Maddox Monson,0.6,0.1,BIG-SKY
Eastern Washington,Shaumba Ngoyi,0.6,0.1,BIG-SKY
Idaho State,Landen Birley,0.4,0.2,BIG-SKY
Idaho State,Kasen Carpenter,0.1,0.0,BIG-SKY
Charleston Southern,A'lahn Sumler,19.0,3.8,BIG-SOUTH
Radford,Dennis Parker Jr.,19.0,1.3,BIG-SOUTH
Winthrop,Logan Duncomb,19.0,1.6,BIG-SOUTH
UNC Asheville,Kameron Taylor,18.0,3.1,BIG-SOUTH
Charleston Southern,Brycen Blaine,17.5,3.1,BIG-SOUTH
UNC Asheville,Justin Wright,17.0,3.0,BIG-SOUTH
Radford,Del Jones,17.0,3.5,BIG-SOUTH
Presbyterian,Jonah Pierce,16.3,1.3,BIG-SOUTH
High Point,Terry Anderson,15.9,1.4,BIG-SOUTH
UNC Asheville,Toyaz Solomon,15.9,1.9,BIG-SOUTH
USC Upstate,Karmani Gregory,15.6,2.9,BIG-SOUTH
High Point,Rob Martin,15.0,3.5,BIG-SOUTH
UNC Asheville,Connor Dubsky,15.0,1.0,BIG-SOUTH
USC Upstate,Mason Bendinger,15.0,1.1,BIG-SOUTH
Presbyterian,Carl Parrish,14.2,2.5,BIG-SOUTH
High Point,Cam'Ron Fletcher,13.6,1.0,BIG-SOUTH
USC Upstate,Carmelo Adkins,13.6,1.4,BIG-SOUTH
Winthrop,Kareem Rozier,13.5,3.3,BIG-SOUTH
Winthrop,Kody Clouet,13.3,1.4,BIG-SOUTH
Longwood,Elijah Tucker,12.6,1.1,BIG-SOUTH
Charleston Southern,Jesse Hafemeister,12.2,1.0,BIG-SOUTH
Longwood,Jacoi Hutchinson,12.2,3.3,BIG-SOUTH
Radford,Jaylon Johnson,12.0,3.7,BIG-SOUTH
Gardner-Webb,Jacob Hogarth,11.1,1.1,BIG-SOUTH
Presbyterian,Triston Wilson,10.9,3.7,BIG-SOUTH
Longwood,Johan Nziemi,10.8,1.9,BIG-SOUTH
Presbyterian,Jaylen Peterson,10.6,0.8,BIG-SOUTH
Longwood,Redd Thompson,10.4,1.9,BIG-SOUTH
High Point,Conrad Martinez,10.3,3.7,BIG-SOUTH
Charleston Southern,Luke Williams,10.2,4.7,BIG-SOUTH
UNC Asheville,DJ Patrick,10.2,0.8,BIG-SOUTH
Gardner-Webb,Jacob Hudson,10.0,1.8,BIG-SOUTH
Gardner-Webb,Spence Sims,9.8,0.9,BIG-SOUTH
Winthrop,Daylen Berry,9.6,2.2,BIG-SOUTH
High Point,Owen Aquino,9.4,2.5,BIG-SOUTH
Longwood,Emanuel Richards,9.2,1.1,BIG-SOUTH
Gardner-Webb,Colin Hawkins,8.8,2.1,BIG-SOUTH
USC Upstate,Learic Davis,8.7,0.9,BIG-SOUTH
High Point,Scotty Washington,8.1,1.0,BIG-SOUTH
Longwood,Alphonzo Billups III,8.0,1.3,BIG-SOUTH
Winthrop,Tommy Kamarad,7.9,1.2,BIG-SOUTH
Gardner-Webb,D.J. Jefferson,7.5,0.4,BIG-SOUTH
Gardner-Webb,Julius Clark,7.3,0.5,BIG-SOUTH
Longwood,Jaylen Benard,7.3,0.9,BIG-SOUTH
Radford,Lukas Walls,7.3,1.1,BIG-SOUTH
Charleston Southern,Armari Carraway,7.0,1.1,BIG-SOUTH
Gardner-Webb,Aaron Talbert,7.0,1.4,BIG-SOUTH
High Point,Braden Hausen,6.9,1.2,BIG-SOUTH
Radford,Tyson Brown,6.8,0.8,BIG-SOUTH
Gardner-Webb,Curtis Williams,6.7,0.7,BIG-SOUTH
Charleston Southern,Reis Jones,6.6,0.9,BIG-SOUTH
USC Upstate,Breylin Garcia,6.4,1.0,BIG-SOUTH
Presbyterian,Erik Taylor,6.2,3.3,BIG-SOUTH
High Point,Vincent Brady II,6.0,1.9,BIG-SOUTH
Winthrop,Seifeldin Hendawy,6.0,1.3,BIG-SOUTH
High Point,Chase Johnston,5.9,0.5,BIG-SOUTH
Gardner-Webb,Jamias Ferere,5.7,0.6,BIG-SOUTH
Winthrop,Josh Meo,5.7,1.2,BIG-SOUTH
