Team,Player,PPG,APG,Conf
Stephen F. Austin,Ahamed Mohammed,4.6,1.6,SOUTHLAND
Texas A&MâCorpus Christi,Kam Parker,4.5,1.6,SOUTHLAND
McNeese State,Carl Cherenfant,4.4,0.9,SOUTHLAND
Incarnate Word,Love Bettis,4.3,0.9,SOUTHLAND
Lamar,Eian Lowe,4.3,2.5,SOUTHLAND
Northwestern State,Landyn Jumawan,4.3,0.8,SOUTHLAND
New Orleans,Panagiotis Pagonis,4.2,1.0,SOUTHLAND
Northwestern State,Kordrick Turner,4.2,0.4,SOUTHLAND
Lamar,Jayden Gambrell,4.0,0.4,SOUTHLAND
Texas A&MâCorpus Christi,Trenton Pane,4.0,1.3,SOUTHLAND
TexasâRio Grande Valley,Dane Christensen,3.9,0.9,SOUTHLAND
McNeese State,Peitok Machar,3.7,0.1,SOUTHLAND
Houston Christian,Nehikhare Igiehon,3.6,0.3,SOUTHLAND
Texas A&MâCorpus Christi,Bryson Wheatfall,3.6,0.6,SOUTHLAND
TexasâRio Grande Valley,Kwo Agwa,3.6,0.9,SOUTHLAND
Incarnate Word,Marcus Glover,3.5,0.6,SOUTHLAND
Stephen F. Austin,Marcus Scurry,3.5,0.4,SOUTHLAND
Texas A&MâCorpus Christi,Jaden Haire,3.5,0.3,SOUTHLAND
Northwestern State,Chip Brunt,3.4,0.8,SOUTHLAND
Northwestern State,J.C. Riley,3.4,0.6,SOUTHLAND
East Texas A&M,London Fields,3.3,0.9,SOUTHLAND
Texas A&MâCorpus Christi,Devon Kobi Pearson,3.3,0.3,SOUTHLAND
Nicholls State,Grant Sanders,3.2,0.7,SOUTHLAND
Southeastern Louisiana,Kyle Edison,3.2,0.9,SOUTHLAND
Lamar,Jayden Barrs,3.1,1.1,SOUTHLAND
TexasâRio Grande Valley,Always Wright,3.1,1.9,SOUTHLAND
TexasâRio Grande Valley,Mustafo Vanjov,3.0,0.3,SOUTHLAND
Texas A&MâCorpus Christi,Cedric Horton,2.9,0.8,SOUTHLAND
Houston Christian,Obadiah Curtis,2.8,0.0,SOUTHLAND
New Orleans,Irish Coquia,2.8,1.2,SOUTHLAND
TexasâRio Grande Valley,Jalen Ricks,2.8,0.5,SOUTHLAND
Lamar,Brian Knight,2.7,0.4,SOUTHLAND
McNeese State,Yanis Ndjonga,2.6,0.1,SOUTHLAND
TexasâRio Grande Valley,Marshal Destremau,2.5,0.3,SOUTHLAND
Nicholls State,Kevin Pazmino,2.4,0.1,SOUTHLAND
Northwestern State,Moustapha Loum,2.4,0.2,SOUTHLAND
Incarnate Word,Lewis Rowe,2.3,1.0,SOUTHLAND
New Orleans,Mathok Majok,2.3,0.0,SOUTHLAND
Northwestern State,CJ Larry,2.3,1.5,SOUTHLAND
Incarnate Word,Drew Barbee,2.2,0.8,SOUTHLAND
Incarnate Word,Jayden Williams,2.2,0.2,SOUTHLAND
Southeastern Louisiana,Ahmed Essahaty,2.2,0.8,SOUTHLAND
TexasâRio Grande Valley,Demarris Winters,2.1,0.5,SOUTHLAND
Houston Christian,Will Wilson,2.0,0.0,SOUTHLAND
Incarnate Word,Esteban Mann,2.0,0.2,SOUTHLAND
Nicholls State,Nick Krass,1.9,0.4,SOUTHLAND
Southeastern Louisiana,Garrett Shoemaker,1.9,0.1,SOUTHLAND
Stephen F. Austin,Eltramon Smith Jr.,1.9,0.5,SOUTHLAND
Incarnate Word,Mihael Tomic,1.8,0.1,SOUTHLAND
Stephen F. Austin,Bryceson Melvin,1.8,0.0,SOUTHLAND
East Texas A&M,Alex McCray,1.8,1.3,SOUTHLAND
TexasâRio Grande Valley,Luis Ramirez,1.7,0.3,SOUTHLAND
Incarnate Word,Amani Drummond,1.6,0.1,SOUTHLAND
New Orleans,Hercy Miller,1.6,0.6,SOUTHLAND
Stephen F. Austin,Tichyque Musaka,1.6,0.1,SOUTHLAND
Lamar,Janko Bulajic,1.5,0.9,SOUTHLAND
New Orleans,Jamal Chretien II,1.5,0.2,SOUTHLAND
East Texas A&M,Mykol Sanchez-Vega,1.5,0.5,SOUTHLAND
East Texas A&M,Evan Phelps,1.4,1.1,SOUTHLAND
Houston Christian,Ahjany Lee,1.2,0.1,SOUTHLAND
Nicholls State,Domanic Betancourt,1.2,0.0,SOUTHLAND
Southeastern Louisiana,Ubong Abasi Etim,1.2,0.2,SOUTHLAND
Texas A&MâCorpus Christi,Jamal Ambrose,1.2,0.1,SOUTHLAND
New Orleans,Grant Kemp,1.1,0.6,SOUTHLAND
Northwestern State,Quentin Bolton Jr.,1.1,0.3,SOUTHLAND
New Orleans,Vieux Sanneh,1.0,0.0,SOUTHLAND
Stephen F. Austin,Christian Green,1.0,0.3,SOUTHLAND
Houston Christian,Caleb Gaston,0.7,0.1,SOUTHLAND
McNeese State,JJ Rembert,0.6,1.7,SOUTHLAND
Stephen F. Austin,Harris Dar,0.6,0.1,SOUTHLAND
East Texas A&M,Parker Whisenhunt,0.6,0.0,SOUTHLAND
Lamar,Spencer Ezewiro,0.5,0.3,SOUTHLAND
Texas A&MâCorpus Christi,Kaden Crosby,0.5,0.3,SOUTHLAND
New Orleans,William Patterson,0.3,0.0,SOUTHLAND
Houston Christian,Bryson Monroe,0.1,0.0,SOUTHLAND
Incarnate Word,Tyler Simon,0.0,0.0,SOUTHLAND
Nicholls State,Jordan Matthews,0.0,0.0,SOUTHLAND
South Dakota,Isaac Bruns,20.8,1.3,SUMMIT
Denver,Carson Johnson,20.2,3.0,SUMMIT
St. Thomas,Nolan Minessale,19.9,4.4,SUMMIT
Omaha,Paul Djobet,18.4,2.1,SUMMIT
Oral Roberts,Ty Harper,17.8,2.4,SUMMIT
St. Thomas,Nick Janowski,16.6,2.1,SUMMIT
North Dakota,Greyson Uelmen,15.4,2.4,SUMMIT
Denver,Jeremiah Burke,14.6,1.5,SUMMIT
South Dakota,Cameron Fens,14.6,0.8,SUMMIT
South Dakota,Jordan Crawford,14.5,1.5,SUMMIT
South Dakota State,Joe Sayler,14.5,2.4,SUMMIT
North Dakota State,Damari Wheeler-Thomas,14.2,2.9,SUMMIT
South Dakota State,Damon Wilkinson,13.9,1.3,SUMMIT
Denver,Zane Nelson,13.4,2.5,SUMMIT
Omaha,Lance Waddles,12.8,2.1,SUMMIT
Oral Roberts,Connor Dow,12.5,1.8,SUMMIT
North Dakota State,Trevian Carson,12.4,2.8,SUMMIT
Omaha,Tony Osburn,12.3,2.4,SUMMIT
South Dakota State,Jaden Jackson,12.3,2.5,SUMMIT
Kansas City,Karmello Branch,12.1,1.5,SUMMIT
North Dakota State,Markhi Strickland,12.1,1.3,SUMMIT
South Dakota,Uzziah Buntyn,12.1,3.5,SUMMIT
Kansas City,U'Riyah Evans,11.6,3.8,SUMMIT
North Dakota,Eli King,11.6,1.9,SUMMIT
Denver,Logan Kinsey,11.5,1.0,SUMMIT
Oral Roberts,Ofri Naveh,11.2,1.8,SUMMIT
Kansas City,Jayson Petty,11.1,1.6,SUMMIT
Omaha,Ja'Sean Glover,11.1,2.5,SUMMIT
North Dakota,Garrett Anderson,10.7,1.3,SUMMIT
South Dakota State,Kalen Garry,10.7,3.2,SUMMIT
St. Thomas,Isaiah Johnson-Arigu,10.6,1.1,SUMMIT
North Dakota State,Treyson Anderson,10.4,0.8,SUMMIT
Kansas City,Kasheem Grady II,10.0,1.2,SUMMIT
Omaha,Grant Stubblefield,9.8,3.4,SUMMIT
St. Thomas,Carter Bjerke,9.7,1.3,SUMMIT
North Dakota State,Noah Feddersen,9.3,1.0,SUMMIT
North Dakota State,Andy Stefonowicz,9.2,4.9,SUMMIT
Oral Roberts,Lane Sparks,9.0,1.0,SUMMIT
North Dakota,George Natsvishvili,8.5,0.9,SUMMIT
North Dakota,Anthony Smith lll,8.4,2.5,SUMMIT
Oral Roberts,Luke Gray,8.4,0.4,SUMMIT
South Dakota State,Matthew Mors,8.4,1.2,SUMMIT
North Dakota,Micah Curtis,8.3,0.3,SUMMIT
North Dakota,Zach Kraft,8.3,0.5,SUMMIT
Denver,Julius Rollins,8.2,1.4,SUMMIT
Kansas City,Jerome Palm,7.8,1.3,SUMMIT
South Dakota,Shey Eberwein,7.7,1.7,SUMMIT
Omaha,Christian Richardson,7.6,0.0,SUMMIT
North Dakota State,Tay Smith,7.6,0.8,SUMMIT
Denver,Shaun Wysocki,7.4,0.8,SUMMIT
St. Thomas,Ben Oosterbaan,7.4,1.7,SUMMIT
South Dakota State,Trey Buchanan,7.3,0.9,SUMMIT
Kansas City,Chris Dockery,7.2,0.9,SUMMIT
South Dakota,Jesse Mcintosh,7.1,1.5,SUMMIT
Oral Roberts,Yuto Yamanouchi,6.9,0.4,SUMMIT
Oral Roberts,Jack Turner,6.8,1.6,SUMMIT
South Dakota,Vince Buzelis,6.8,1.3,SUMMIT
North Dakota,Marley Curtis,6.4,0.2,SUMMIT
St. Thomas,Ryan Dufault,5.9,1.7,SUMMIT
Denver,Gabe Oldham,5.7,1.1,SUMMIT
St. Thomas,Austin Herro,5.7,3.4,SUMMIT
South Dakota,Porter Ihnen,5.0,0.3,SUMMIT
Omaha,Kamryn Thomas,4.9,1.0,SUMMIT
Omaha,Khamani Cooper,4.8,1.3,SUMMIT
St. Thomas,Jermaine Coleman,4.7,0.5,SUMMIT
South Dakota State,Alec Squires,4.6,0.8,SUMMIT
South Dakota State,Bubz Alvarez,4.5,1.1,SUMMIT
Kansas City,Shatner Booker-Lowery,4.4,0.3,SUMMIT
Omaha,Brock Scholl,4.4,0.3,SUMMIT
South Dakota,Silas Bennion,4.4,3.1,SUMMIT
North Dakota,Reggie Thomas,4.3,0.8,SUMMIT
South Dakota,Ethan Kizer,4.1,0.2,SUMMIT
Oral Roberts,Cal Furnish,4.0,1.5,SUMMIT
Kansas City,Addarin Scott,3.8,0.5,SUMMIT
North Dakota State,Emil Skytta,3.8,0.7,SUMMIT
South Dakota State,Luke Haertle,3.8,1.4,SUMMIT
Omaha,Valentino Simon,3.7,0.6,SUMMIT
Oral Roberts,Martins Kilups,3.7,0.7,SUMMIT
Omaha,Julian Margrave,3.4,0.3,SUMMIT
Denver,Josh Lee,3.3,0.7,SUMMIT
North Dakota State,Carson Smith,3.2,0.2,SUMMIT
North Dakota,Josh Jones,3.1,0.9,SUMMIT
St. Thomas,Hayden Tibbits,3.1,1.2,SUMMIT
Kansas City,Kernan Bundy,3.0,1.2,SUMMIT
South Dakota,Trent Hudgens Jr.,3.0,1.3,SUMMIT
Kansas City,D'Andre Harrison,2.8,0.2,SUMMIT
Kansas City,Jamaria Clark,2.8,0.9,SUMMIT
South Dakota,Evan Anderson,2.8,0.7,SUMMIT
Oral Roberts,Chase Martin,2.6,1.6,SUMMIT
Oral Roberts,Aaron Jacob,2.5,0.2,SUMMIT
South Dakota,Jake Brack,2.3,0.4,SUMMIT
South Dakota State,Jaden Rogers,2.2,0.1,SUMMIT
North Dakota State,Riley Saunders,2.1,0.3,SUMMIT
St. Thomas,Tim Franks,2.1,0.4,SUMMIT
North Dakota,Wylee Delorme,2.0,0.1,SUMMIT
North Dakota,Matthew Bothun,1.9,0.2,SUMMIT
South Dakota State,Andrell Burton Jr.,1.8,0.3,SUMMIT
Denver,Didier Maleng,1.7,0.2,SUMMIT
Oral Roberts,Baron Smith Jr.,1.7,0.2,SUMMIT
North Dakota,Ryan Erikson,1.6,0.3,SUMMIT
North Dakota State,Riley Massey,1.5,0.5,SUMMIT
Denver,Corleone Dandridge,1.4,0.1,SUMMIT
South Dakota State,Caleb Delzell,1.4,0.6,SUMMIT
Kansas City,Babacar Mbengue,1.2,0.3,SUMMIT
Omaha,Aidan Skradis,1.2,0.3,SUMMIT
North Dakota,Anthony Doppler,1.2,0.4,SUMMIT
North Dakota State,Max Majerle,1.1,0.6,SUMMIT
South Dakota,Caleb Kizer,1.1,0.2,SUMMIT
St. Thomas,Tommy Humphries,1.1,0.2,SUMMIT
St. Thomas,Kyle Counts,1.0,0.2,SUMMIT
St. Thomas,Ryan Lafferty,1.0,1.3,SUMMIT
Denver,Devin Carney,0.8,0.3,SUMMIT
North Dakota,Karson Ouse,0.8,0.0,SUMMIT
South Dakota State,Jadyn Cascio Jensen,0.7,0.3,SUMMIT
South Dakota,Ashton Smith,0.5,0.0,SUMMIT
St. Thomas,Adam Tauer,0.4,0.2,SUMMIT
North Dakota State,Caleb Schoenrock,0.3,0.1,SUMMIT
St. Thomas,Jack Tauer,0.3,0.1,SUMMIT
Denver,Loch Cunningham,0.2,0.4,SUMMIT
Tarleton State,Dior Johnson,23.8,1.5,WAC
California Baptist,Dominique Daniels Jr.,22.2,3.3,WAC
Abilene Christian,Bradyn Hubbard,16.2,1.7,WAC
Utah Tech,Ethan Potter,15.9,1.9,WAC
Utah Valley,Jackson Holcombe,15.4,3.5,WAC
Southern Utah,Elijah Duval,14.7,3.7,WAC
Tarleton State,Camron McDowell,13.9,1.2,WAC
Southern Utah,Jaiden Feroah,13.2,1.8,WAC
California Baptist,Martel Williams,13.0,1.5,WAC
UT Arlington,Marcell McCreary,12.9,1.8,WAC
UT Arlington,Raysean Seamster,12.3,2.0,WAC
Utah Tech,Noah Bolanga,12.2,2.1,WAC
Utah Tech,Chance Trujillo,12.1,2.6,WAC
Utah Valley,Trevan Leonhardt,12.0,6.0,WAC
Utah Valley,Tyler Hendricks,11.8,1.9,WAC
Utah Tech,Jusaun Holt,11.8,3.3,WAC
Utah Valley,Isaac Davis,11.4,1.4,WAC
Southern Utah,Tanner Hayhurst,10.6,1.5,WAC
UT Arlington,Casmir Chavis,10.3,3.7,WAC
Abilene Christian,Chilaydrien Newton,10.1,1.0,WAC
Utah Tech,Madiba Owona,9.7,1.5,WAC
Tarleton State,Freddy Hicks,9.3,2.0,WAC
Abilene Christian,Rich Smith,9.3,4.7,WAC
Southern Utah,Isaiah Cottrell,9.2,1.4,WAC
California Baptist,Jayden Jackson,8.9,1.8,WAC
Southern Utah,Dylan Jones,8.5,0.8,WAC
Tarleton State,Chris Mpaka,8.1,0.2,WAC
Utah Valley,Hayden Welling,7.6,1.0,WAC
Utah Valley,Isaac Hawkins,7.5,0.7,WAC
Utah Tech,Tanner Davis,7.4,1.7,WAC
Tarleton State,Andy Sigiscar,7.2,0.2,WAC
Tarleton State,Malek Archie,7.0,0.0,WAC
Southern Utah,Zach Bell,7.0,2.1,WAC
UT Arlington,Bahsil Laster,6.9,1.2,WAC
Abilene Christian,Yaniel Rivera,6.7,2.3,WAC
Abilene Christian,Zy Wright,6.3,0.6,WAC
California Baptist,Devon Malcolm,6.1,0.5,WAC
UT Arlington,Tyran Mason,6.1,0.6,WAC
Tarleton State,Leroy Kelly IV,6.0,1.3,WAC
Tarleton State,AJ Dent Jr.,6.0,0.0,WAC
California Baptist,Jonathan Griman,5.9,0.4,WAC
Tarleton State,DJ Dormu,5.6,2.1,WAC
Tarleton State,Kade Douglas,5.5,0.6,WAC
Utah Valley,Noah Taitz,5.5,1.2,WAC
Southern Utah,Jalen Lee,5.5,0.4,WAC
Tarleton State,Kaia Isaac,5.4,1.6,WAC
Abilene Christian,Cade Hornecker,5.3,1.2,WAC
Utah Valley,Braden Housley,5.3,2.9,WAC
Utah Tech,Britton Berrett,5.2,1.3,WAC
California Baptist,Thomas Ndong,5.1,0.3,WAC
Tarleton State,Jordan Mizell,5.1,2.2,WAC
Abilene Christian,Christian Alston,5.0,0.3,WAC
UT Arlington,Marcus Rigsby Jr.,4.9,0.7,WAC
California Baptist,Jordan Mueller,4.9,1.9,WAC
California Baptist,Bradey Henige,4.9,0.5,WAC
Utah Tech,Dario Domingos,4.8,0.2,WAC
Abilene Christian,Joseph Scott,4.8,0.5,WAC
Abilene Christian,Joseph Venzant,4.6,0.8,WAC
UT Arlington,Jordan Lowery,4.5,1.1,WAC
Southern Utah,Logan Stephens,4.5,1.3,WAC
Southern Utah,Cale Barclay,4.4,1.0,WAC
UT Arlington,Cameron Jackson,4.3,0.5,WAC
Tarleton State,Ocypher Owens,4.0,0.8,WAC
Utah Valley,Sherman Weatherspoon,3.8,0.5,WAC
Utah Tech,Boston Harker,3.7,1.0,WAC
Southern Utah,Kai Burdick,3.7,0.5,WAC
UT Arlington,Miles Goodman,3.5,0.1,WAC
UT Arlington,Amari Reed,3.2,0.1,WAC
Abilene Christian,Isaac Dye,3.1,0.3,WAC
Southern Utah,Lorenzo Abellar,3.1,1.6,WAC
Tarleton State,Cam Thomas,2.9,0.2,WAC
Abilene Christian,Ma'Shy Hill,2.8,0.2,WAC
California Baptist,Miles Daniels,2.8,0.6,WAC
UT Arlington,Jayden Smoot,2.6,0.4,WAC
California Baptist,Rene D'Amelio,2.6,0.2,WAC
Utah Tech,Dallin Grant,2.5,0.1,WAC
Tarleton State,Matyas Vrabel,2.4,0.1,WAC
Utah Tech,Samuel Ariyibi,2.4,0.6,WAC
California Baptist,Nathaniel Garcia,2.4,0.1,WAC
California Baptist,Monty Bowser,2.1,0.2,WAC
Southern Utah,Langston Binns,2.0,0.2,WAC
Utah Valley,Joul Karram,1.9,0.3,WAC
Utah Valley,Tyler Medaris,1.8,0.5,WAC
Utah Valley,Tyler Weaver,1.8,0.5,WAC
California Baptist,Jalen Dollar,1.5,0.1,WAC
Utah Valley,AJ Riggs,1.4,0.4,WAC
Utah Tech,Preston Vandermyde,1.4,0.1,WAC
Tarleton State,Damion Porter Jr.,1.2,0.2,WAC
Southern Utah,Zeplin Kidd,1.1,0.2,WAC
UT Arlington,Alex Bossinakis,1.0,0.8,WAC
Southern Utah,Chuks Isitua,0.9,0.0,WAC
Abilene Christian,Isaiah Carrillo,0.9,0.4,WAC
Southern Utah,Brayden Johnson,0.8,0.8,WAC
Abilene Christian,Tylan LEWIS,0.5,0.5,WAC
Tarleton State,Joseph Martinez,0.3,0.0,WAC
Tarleton State,Roy Marom,0.0,0.2,WAC
Montana,Money Williams,19.6,5.0,BIG-SKY
Northern Colorado,Quinn Denker,18.9,7.0,BIG-SKY
Portland State,Terri Miller Jr.,18.9,3.5,BIG-SKY
Sacramento State,Prophet Johnson,18.5,3.8,BIG-SKY
Idaho,Kristian Gonzalez,18.0,0.0,BIG-SKY
Eastern Washington,Isaiah Moses,17.9,4.0,BIG-SKY
Portland State,Jaylin Henderson,17.9,6.0,BIG-SKY
Weber State,Tijan Saine,17.2,4.4,BIG-SKY
Sacramento State,Mikey Williams,17.1,4.5,BIG-SKY
Northern Colorado,Brock Wisne,16.3,2.7,BIG-SKY
Sacramento State,Jeremiah Cherry,15.5,1.7,BIG-SKY
Montana State,Jed Miller,14.8,2.9,BIG-SKY
Idaho,Jackson Rasmussen,14.1,1.4,BIG-SKY
Northern Arizona,Zack Davidson,14.0,0.8,BIG-SKY
Montana State,Patrick McMahon,13.9,2.0,BIG-SKY
Idaho,Kolton Mitchell,13.6,4.0,BIG-SKY
Eastern Washington,Alton Hamilton IV,13.2,2.3,BIG-SKY
Idaho State,Connor Hollenbeck,13.2,1.5,BIG-SKY
Eastern Washington,Kiree Huie,13.0,0.8,BIG-SKY
Weber State,Viljami Vartiainen,12.8,1.0,BIG-SKY
Montana State,Davian Brown,12.7,1.8,BIG-SKY
Idaho,Biko Johnson,12.5,2.5,BIG-SKY
Montana State,Christian King,12.3,1.0,BIG-SKY
Idaho,Isaiah Brickner,11.9,0.9,BIG-SKY
Idaho State,Caleb Van De Griend,11.8,0.6,BIG-SKY
Northern Colorado,Zach Bloch,11.6,2.3,BIG-SKY
Weber State,Jace Whiting,11.6,2.8,BIG-SKY
Montana,Te'Jon Sawyer,11.4,1.2,BIG-SKY
Portland State,Keyon Kensie,10.9,1.1,BIG-SKY
Northern Arizona,Ryan Abelman,10.7,1.9,BIG-SKY
Portland State,Tre-Vaughn Minott,10.3,0.3,BIG-SKY
Sacramento State,Mark Lavrenov,10.2,0.5,BIG-SKY
Weber State,Nigel Burris,10.2,0.6,BIG-SKY
Weber State,Trevor Hennig,10.2,1.6,BIG-SKY
Sacramento State,Jahni Summers,9.9,1.0,BIG-SKY
Northern Colorado,Ibu Yamazaki,9.7,0.8,BIG-SKY
Idaho State,Jamison Guerra,9.3,3.9,BIG-SKY
Weber State,Edwin Suarez Jr.,9.3,1.2,BIG-SKY
Idaho State,Martin Kheil,9.2,1.2,BIG-SKY
Northern Arizona,Karl Markus Poom,9.0,1.3,BIG-SKY
Montana,Brooklyn Hicks,8.9,0.9,BIG-SKY
Montana State,Jeremiah Davis,8.7,1.3,BIG-SKY
Montana,Kenyon Aguino,8.6,1.6,BIG-SKY
Montana,Tyler Thompson,8.5,1.3,BIG-SKY
Idaho State,Gus Etchison,8.4,2.0,BIG-SKY
Montana State,Cavin Holden,8.4,1.8,BIG-SKY
Northern Colorado,Ring Nyeri,8.4,0.6,BIG-SKY
Idaho State,Lachlan Brewer,8.2,1.2,BIG-SKY
Idaho,Brody Rowbury,8.1,1.1,BIG-SKY
Weber State,Malek Gomma,8.1,1.4,BIG-SKY
Northern Arizona,Isaiah Shaw,8.0,0.5,BIG-SKY
Northern Arizona,Chris Komin,7.8,2.1,BIG-SKY
Montana State,Seth Amunrud,7.6,0.7,BIG-SKY
Eastern Washington,Jojo Anderson,7.3,2.3,BIG-SKY
Idaho,Jack Payne,6.9,1.4,BIG-SKY
Northern Arizona,Traivar Jackson,6.9,0.9,BIG-SKY
Sacramento State,Arman Madi,6.9,1.4,BIG-SKY
Northern Arizona,Arne Osojnik,6.7,1.1,BIG-SKY
Northern Arizona,Diego Campisano,6.6,0.4,BIG-SKY
Eastern Washington,Johnny Radford,6.5,1.0,BIG-SKY
Northern Colorado,Egan Shields,6.4,1.0,BIG-SKY
Northern Colorado,Vincent Delano,6.3,1.7,BIG-SKY
Montana,Grant Kepley,6.2,2.9,BIG-SKY
Montana,Tyler Isaak,6.2,2.3,BIG-SKY
Sacramento State,Jayden Teat,6.1,0.9,BIG-SKY
Eastern Washington,Straton Rogers,5.7,1.1,BIG-SKY
Montana,Courtney Anderson,5.7,0.2,BIG-SKY
Montana State,Chris Hodges,5.7,0.9,BIG-SKY
Montana State,Jaden Steppe,5.7,0.8,BIG-SKY
Eastern Washington,Emmett Marquardt,5.5,0.8,BIG-SKY
Idaho,Seth Joba,5.5,0.4,BIG-SKY
Sacramento State,Shaqir O'Neal,5.4,0.6,BIG-SKY
Eastern Washington,Tyler Powell,5.1,0.6,BIG-SKY
Northern Arizona,Kavon Bradford,5.1,1.6,BIG-SKY
Northern Arizona,Brennan Peterson,5.0,2.1,BIG-SKY
Montana State,Waka Mbatch,4.7,0.6,BIG-SKY
Portland State,Sebastian Tidor,4.7,0.6,BIG-SKY
Idaho State,Evan Otten,4.6,0.3,BIG-SKY
Northern Colorado,Chancellor White,4.5,0.5,BIG-SKY
Portland State,Kelcy Phipps,4.5,1.0,BIG-SKY
Sacramento State,MaTaj Glover,4.5,1.3,BIG-SKY
Idaho State,Louis Bond,4.2,0.5,BIG-SKY
Sacramento State,Brandon Gardner,4.1,0.4,BIG-SKY
Northern Arizona,Walker Timme,4.0,0.0,BIG-SKY
Idaho,Miles Klapper,3.9,0.8,BIG-SKY
Weber State,ArDarius Grayson,3.9,1.3,BIG-SKY
Idaho,Trevon Blassingame,3.6,0.6,BIG-SKY
Weber State,Duce Paschal,3.6,0.7,BIG-SKY
Idaho State,Blake Daberkow,3.4,0.4,BIG-SKY
Northern Colorado,Ariik Mawien,3.4,0.4,BIG-SKY
Montana,Kadyn Betts,3.1,0.2,BIG-SKY
Northern Arizona,Oakland Fort,3.1,1.4,BIG-SKY
Portland State,Alex Dupre,3.1,0.7,BIG-SKY
Idaho State,Cheikh Sow,2.9,0.4,BIG-SKY
Portland State,Isaiah Williams,2.9,0.1,BIG-SKY
Portland State,Brycen Long,2.8,0.7,BIG-SKY
Northern Colorado,Tanner Braketa,2.7,0.5,BIG-SKY
Weber State,Bourgeois Tshilobo,2.6,0.1,BIG-SKY
Northern Colorado,Hunter Caldwell,2.5,0.4,BIG-SKY
Montana,Chase Henderson,2.4,0.6,BIG-SKY
Montana,Connor Dick,2.4,0.3,BIG-SKY
Montana,Trae Taylor,2.3,0.0,BIG-SKY
Northern Colorado,William Humer,2.3,1.3,BIG-SKY
Eastern Washington,Cole Scherer,2.2,0.5,BIG-SKY
Montana State,Howie Keene,2.2,0.5,BIG-SKY
Idaho,Aidan Sevilla,2.0,0.9,BIG-SKY
Weber State,David Hansen,2.0,0.1,BIG-SKY
Eastern Washington,Angelo Winkel,1.8,0.3,BIG-SKY
Eastern Washington,Elijah Thomas,1.8,0.3,BIG-SKY
Montana State,Grayson Gaddis,1.8,0.4,BIG-SKY
Idaho,Ewan Steele,1.7,0.5,BIG-SKY
Sacramento State,Romari Robinson,1.7,0.5,BIG-SKY
Idaho State,Quin Patterson,1.5,0.1,BIG-SKY
Weber State,Declan Cutler,1.5,0.2,BIG-SKY
Portland State,Charles Chukwu,1.4,0.1,BIG-SKY
Montana,Amari Jedkins,1.3,0.0,BIG-SKY
Weber State,Brady Smith,1.3,0.0,BIG-SKY
Portland State,Mozae Downing-Rivers,1.1,1.1,BIG-SKY
Montana State,Calum Rutherfurd,1.0,0.2,BIG-SKY
Northern Colorado,Walker Asp,1.0,0.3,BIG-SKY
Portland State,Brayden Barron,0.9,0.1,BIG-SKY
Portland State,Samuel Stewart IV,0.9,0.4,BIG-SKY
Northern Arizona,Erez Poran,0.8,0.3,BIG-SKY
Northern Arizona,JT Amundsen,0.8,0.3,BIG-SKY
Portland State,Colt Ness,0.8,1.1,BIG-SKY
Portland State,Kean Webb,0.8,0.0,BIG-SKY
Sacramento State,Jeremiah Nyarko,0.8,0.0,BIG-SKY
Idaho State,Jaedyn Brown,0.7,0.3,BIG-SKY
Sacramento State,Isaiah Bronson,0.7,0.2,BIG-SKY
Eastern Washington,Maddox Monson,0.6,0.1,BIG-SKY
Eastern Washington,Shaumba Ngoyi,0.6,0.1,BIG-SKY
Idaho State,Landen Birley,0.4,0.2,BIG-SKY
Idaho State,Kasen Carpenter,0.1,0.0,BIG-SKY
Charleston Southern,A'lahn Sumler,18.8,3.9,BIG-SOUTH
UNC Asheville,Kameron Taylor,18.8,3.1,BIG-SOUTH
Radford,Dennis Parker Jr.,18.6,1.3,BIG-SOUTH
Winthrop,Logan Duncomb,18.4,1.6,BIG-SOUTH
Charleston Southern,Brycen Blaine,17.5,3.1,BIG-SOUTH
Radford,Del Jones,17.1,3.5,BIG-SOUTH
UNC Asheville,Justin Wright,16.7,2.9,BIG-SOUTH
Presbyterian,Jonah Pierce,16.4,1.2,BIG-SOUTH
UNC Asheville,Toyaz Solomon,16.3,1.9,BIG-SOUTH
High Point,Terry Anderson,15.8,1.4,BIG-SOUTH
USC Upstate,Karmani Gregory,15.6,2.9,BIG-SOUTH
UNC Asheville,Connor Dubsky,15.0,1.0,BIG-SOUTH
High Point,Rob Martin,14.9,3.5,BIG-SOUTH
Presbyterian,Carl Parrish,14.4,2.4,BIG-SOUTH
USC Upstate,Mason Bendinger,14.4,1.2,BIG-SOUTH
Winthrop,Kody Clouet,13.6,1.3,BIG-SOUTH
USC Upstate,Carmelo Adkins,13.5,1.6,BIG-SOUTH
High Point,Cam'Ron Fletcher,13.4,1.0,BIG-SOUTH
Winthrop,Kareem Rozier,13.3,3.5,BIG-SOUTH
Charleston Southern,Jesse Hafemeister,12.8,1.0,BIG-SOUTH
Longwood,Elijah Tucker,12.5,1.1,BIG-SOUTH
Longwood,Jacoi Hutchinson,12.1,3.2,BIG-SOUTH
Radford,Jaylon Johnson,11.6,3.5,BIG-SOUTH
Presbyterian,Triston Wilson,11.1,3.6,BIG-SOUTH
Gardner-Webb,Jacob Hogarth,10.8,1.3,BIG-SOUTH
Longwood,Johan Nziemi,10.7,1.8,BIG-SOUTH
Presbyterian,Jaylen Peterson,10.6,0.8,BIG-SOUTH
